,text,date
21,"Удостоверение личности лица без гражданства в РФ

С 2021 года в РФ оформляют удостоверение личности лица без гражданства для людей, не имеющих документов, подтверждающих личность. Рассказываем, зачем нужно удостоверение и как его оформить.",2022-09-26 11:17:14
22,"Выплаты, льготы и пособия, полагающиеся при временном убежище

РФ гарантирует вынужденным мигрантам помощь для пребывания в стране: выплаты при временном убежище (ВУ), гуманитарную помощь, медицинское обслуживание и пр. Рассказываем, какие льготы и пособия обеспечивает РФ для беженцев.",2022-09-23 15:06:16
23,"Главная новость вчерашнего дня заставила нас собрать все статьи на тему в одну пополняемую подборку. Много вопросов для себя проясните.
И да, статьи проверены на актуальность.
zacia",2022-09-22 08:00:27
24,"Кого и на сколько оштрафуют за отсутствие карточки водителя

",2022-09-21 15:06:25
25,"Усложнят правила маркировки и продажи алкоголя

В Госдуму направили поправки в Закон об алкогольном регулировании. Если их примут, то требования к маркировке станут более жесткими.",2022-09-21 11:17:11
26,"Северным и сельским пенсионерам не придется писать заявление для получения доплаты к пенсии

Новый Соцфонд, который заработает с 2023 г., самостоятельно будет назначать доплаты к пенсиям на основании данных из отчетов работодателей. Это правило коснется пенсионеров, проживающих на Крайнем Севере или имеющих стаж работы в таком регионе, и сельчан.",2022-09-21 08:27:06
27,"Заявление об отмене судебного приказа: правила написания и образец

Правила написания и образец.",2022-09-20 18:12:22
28,"Оформление пособия по уходу за пожилым человеком

Рассказали, какие понадобятся документы, куда обращаться и сколько будут платить.",2022-09-20 17:01:12
29,"Инструкция: заполняем сведения о трудовой деятельности на Госуслугах

Для оформления загранспаспорта необходимо подать соотвествующее заявление. Сделать это можно в том числе через портал Госуслуг. В качестве приложения к этому заявлению заполняется анкета, в которой в числе прочего необходимо указать сведения о трудовой деятельности человека за последние десять лет.",2022-09-20 15:06:09
30,"Какой штраф предусмотрен за порчу паспорта РФ

Административный штраф за порчу паспорта, даже умышленную, полагается небольшой. Впятеро меньше госпошлины, которая взимается в подобном случае.",2022-09-20 11:17:11
31,"Упростят процедуру закрытия юрлица

Для малых и средних предприятий введут новый порядок ликвидации юрлица. Он станет быстрее и проще того, который действует сейчас, ожидается, что пользоваться им можно будет уже с середины 2023 года.",2022-09-15 17:01:08
32,"Как стать оператором персональных данных в реестре Роскомнадзора

Не все компании и индивидуальные предприниматели знают, являются ли операторами персональных данных и надо ли им передавать о себе сведения в Роскомнадзор. Разбираемся, за кем служба следит более внимательно и как уведомить о начале обработки личной информации граждан.",2022-09-15 15:06:10
33,"Федеральная палата адвокатов будет консультировать граждан бесплатно

Обращение к адвокатам обычно сопряжено с тратой денег. Чтобы помочь гражданам в правовых вопросах, стартует проект по оказанию бесплатной адвокатской помощи.",2022-09-13 18:12:33
34,"Разработали три новых формы по персональным данным

Роскомнадзор планирует утвердить три формы уведомлений для работы с персональными данными.",2022-09-12 17:01:10
35,"Что такое смешанный договор и зачем он нужен

Что значит смешанный договор — это такое соглашение, в котором содержатся элементы различных сделок. Рассказываем, в чем его отличия от непоименованного и как правильно его заключать, чтобы в будущем избежать проблем.",2022-09-09 15:06:17
36,"Планируют продлить программу дальневосточной ипотеки

Дальневосточную ипотеку могут продлить еще на 7 лет — до 2030 года. Президент уже отдал такое распоряжение правительству.",2022-09-08 15:06:05
37,"Продлили упрощенную оценку соответствия товаров

Упрощенная оценка соответствия продукции обязательным требованиям действовала до 01.09.2022. Правительство продлило этот срок.",2022-09-06 11:17:17
38,"Самозанятым разрешили торговать на ярмарках и фестивалях

Самозанятые фермеры и мастера теперь смогут продавать свою продукцию на ярмарках, выставках и фестивалях.",2022-09-05 17:01:05
39,"Хотят создать реестр согласий на обработку персональных данных

С 1 сентября усилили государственный контроль и повысили безопасность обработки персональных данных граждан. Теперь хотят создать реестр согласий на обработку персданных.",2022-09-02 17:01:07
40,"Утвердили форму согласия на раскрытие налоговой тайны

С 1 августа Налоговая инспекция вправе предоставлять сведения о налогоплательщике. Теперь эти данные не являются налоговой тайной. Но требуется согласие самого налогоплательщика.",2022-09-02 08:27:05
41,"Ускоренная регистрация товарного знака: возможна ли и что нужно делать

Товарный знак — зарегистрированное обозначение, используемое для индивидуализации товаров и услуг. Нанося маркировку на свои товары, вывески, рекламные объявления, размещая ее на сайтах и т.д., производители пытаются выделить свой товар, сделать его запоминающимся и узнаваемым для потребителя. Для получения монополии на используемое обозначение и полноценной защиты от конкурентов производителю необходимо зарегистрировать его в качестве товарного знака в Роспатенте.",2022-09-01 18:12:23
42,"Отменяется ограничение на размер комиссии за эквайринг

С сентября 2022 года банки перестают соблюдать антикризисное правило ЦБ РФ. За прием платежных карт могут взимать комиссию.",2022-08-31 18:12:44
43,"С 1 сентября заработают более ста новых ГОСТов

С 01.09.2022 введены в действие более 100 новых госстандартов и предварительных стандартов. Внимательно их изучите и работайте в соответствии с ними.",2022-08-31 15:06:09
44,"Особенности ведения книги учета доходов и расходов для ИП

Индивидуальные предприниматели ведут книгу учета доходов и расходов. А вот организации не обязаны вести книгу. Форма и порядок заполнения КУДиР зависит от применяемой системы налогообложения.",2022-08-30 18:12:15
45,"Продлили переход к машиночитаемым доверенностям

С введением электронного документооборота потребовались и аналогичные доверенности. Не всем удалось перейти на такой формат выдачи документов, поэтому правительство решило пойти навстречу бизнесменам.",2022-08-30 17:01:05
46,"Обзор: изменения по интернет-рекламе с 1 сентября

С 01.09.2022 меняются правила распространения интернет-рекламы. Рекламодателям теперь нужно более ответственно подходить к содержанию рекламы и порядку ее запуска.",2022-08-30 11:17:24
47,"Беженцы из ДНР, ЛНР и Украины будут получать ежемесячные выплаты

Пенсионеры из ДНР, ЛНР и Украины, которые решили жить в России, не останутся у разбитого корыта. С лета 2022 года им будут выплачивать ежемесячную пенсию.",2022-08-30 08:27:27
48,"Что означает свобода договора

В гражданском отечественном и зарубежном праве нередко ссылаются на такой термин, как «свобода договора» в праве, при оформлении сделки сторонами. Рассказываем, что он означает и чем регулируется?",2022-08-29 17:01:04
49,"Персональные данные с 1 сентября: новые штрафы и запретные условия в документах

Одновременно с изменениями в Законе о персональных данных вносятся поправки в Закон о защите прав потребителей. За внесение в договор условий, ущемляющих права гражданина, без его согласия налагается штраф.",2022-08-26 18:12:36
50,"Разработали льготы для импортозаместителей

Промышленным кластерам, занятым в производстве российских аналогов иностранных товаров, предоставят льготу по налогу на прибыль и страховым взносам. Послабления продлятся семь лет.",2022-08-23 18:12:18
51,"Иск в суд теперь можно подать через интернет

Чтобы подать заявление в суд, нужно идти лично или отправлять бумаги заказным письмом. Многим это было неудобно: приходилось отпрашиваться с работы, договариваться, делать копии документов. Теперь все будет проще.",2022-08-23 17:01:22
52,"По итогам проведённого прямого эфира с Павлом Катковым на тему: ""Мышление в юридическом бизнесе"" оставляем для Вас ссылку на обещанный им автовебинар для юристов и возможности для роста и развития юридического бизнеса. 

Просмотрите, кого заинтересует, запишитесь на консультацию ",2022-08-22 19:56:57
53,"Обязаны ли дети платить алименты на содержание родителей

Родители материально обеспечивают своих сыновей и дочерей, эта практика очень распространена. Но возможны ситуации, когда взыскиваются алименты с детей на содержание родителей. Каковы же случаи, позволяющие отцу и матери претендовать на выплаты, а детям избежать такой обязанности, сколько денег можно получить?",2022-08-22 18:12:03
54,"Обновили временные методические рекомендации по борьбе с коронавирусом

Продолжается изучение вируса COVID-19. Разрабатываются новые рекомендации по профилактике заболевания, выявляются новые мутации вируса и влияние его на организм человека.",2022-08-22 17:01:06
55,"Справка об отсутствии судебной задолженности: как и где получить

Справка ФССП об отсутствии задолженности подтверждает, что у вас нет неоплаченных или непогашенных обязательств перед иными лицами или организациями. Она часто необходима физическим и юридическим лицам в разных ситуациях. Рассказываем, для чего нужны такие сведения, куда обращаться за ними и как правильно оформить.",2022-08-22 15:06:19
56,"Правительство компенсирует затраты на перевод транспорта с бензина на газ

С появлением возможности перевести автомобиль на газ многие встали перед выбором: переходить или нет на этот вид топлива. Переоснащение автомобиля стоит денег.",2022-08-19 17:01:25
57,"Домохозяйкам хотят платить ежемесячное пособие в размере МРОТ

В реалиях современности довольно трудно одновременно вести домашнее хозяйство, воспитывать детей, хранить домашний очаг и работать. Поэтому многие женщины становятся домохозяйками. С 01.01.2023 им планируется установить ежемесячное пособие.",2022-08-19 15:06:07
58,"На Госуслугах теперь можно подать заявление на субсидию по ипотеке

Портал Госуслуги расширяет сервис и становится все удобнее. Теперь появилась возможность подать заявление на субсидию по ипотеке, не выходя из дома.",2022-08-18 17:01:19
59,"Как получить гражданство РФ

Получение гражданства РФ возможно или в общем, или в упрощенном порядке. Основания для того и другого подробно прописаны в статьях 13 и 14 Федерального закона от 31.05.2002 № 62-ФЗ.",2022-08-18 15:06:35
60,"Коронавирус: маски возвращаются

Из-за роста числа заболевших начинают возвращать забытые уже ограничения. Всему виной новый с иголочки штамм Дельтакрон. Грядет новая волна COVID-19?",2022-08-17 18:12:17
61,"Родителям школьников хотят выплатить 21 850 рублей к 1 сентября

Собрать ребенка в школу дорого стоит. Одна одежда обойдется тысяч в 20. А учебники, тетради, ручки, карандаши и прочее, прочее, прочее... Законотворцы решили помочь родителям дополнительными выплатами.",2022-08-17 17:01:16
62,"Самозанятые будут платить страховые взносы в ФСС

Минтруд разрабатывает систему добровольного социального страхования для самозанятых. Предполагается, что уже с 2023 года плательщики НПД смогут добровольно уплачивать страховые платежи и получать больничные в случае нетрудоспособности.",2022-08-17 08:27:03
63,"Увеличат период для расчета накопительной пенсии

Опубликованным проектом Минтруда установлено, что ожидаемый период выплаты накопительной пенсии в 2023–2024 годах не будет превышать 22,5 года, что составляет 270 месяцев.",2022-08-16 18:12:04
64,"В России ввели звание «Мать-героиня»

Мамы десяти детей получат официальный статус, 1 млн рублей и орден. Правила прописаны в новом указе президента.",2022-08-16 17:01:03
65,"Начинается осений этап программы туристического кешбэка

Очередное окно продаж туров с кэшбеком запланировано на период с 25 августа по 10 сентября 2022 года. На этот раз продаваться будут осенние поездки длительностью от трех ночей.",2022-08-16 11:17:07
66,"ФНС обновит форму 3-НДФЛ

С отчетности за налоговый период 2022 года будет применяться новая налоговая декларация по НДФЛ. Прежнюю форму принимать не будут.",2022-08-16 08:27:02
67,"Введут обязательную маркировку жидкостей для электронных сигарет

Сейчас и до 28.02.2023 проходит эксперимент по маркировке жидкостей для электронных сигарет. Его хотят завершить досрочно.",2022-08-12 17:01:34
68,"МРОТ могут увеличить до 30 000 рублей

В 2022 году минимальный размер оплаты труда повышался дважды: 1 января и 1 июня. Следующее повышение предполагается в январе 2023 года.",2022-08-12 15:06:08
69,"ФНС узнает о покупке жилья за маткапитал

У нового Фонда пенсионного и социального страхования, который заработает с 2023 года, будет много обязанностей. Помимо основных, которые переходят «по наследству» из Пенсионного фонда и Фонда социального страхования, добавятся новые.",2022-08-10 18:12:04
70,"ПФР проверят из-за отказов в выплате детских пособий

Генеральная прокуратура РФ инициировала масштабную проверку деятельности ПФР. Причиной для ее проведения стали многочисленные необоснованные отказы в назначении выплат на детей и несвоевременные перечисления уже назначенных пособий.",2022-08-10 17:01:16
71,"Минтруд и Минздрав опубликовали методичку по ковидным выплатам в 2022 году

Совместным приказом Минтруда и Минздрава утверждены методические рекомендации по назначению компенсационных выплат медицинским работникам, помогающим коронавирусным больным. Система этих выплат разработана взамен ранее существовавшей системы страхования медработников при работе с ковид-19.",2022-08-10 08:27:02
72,"Малому бизнесу дадут льготные кредиты на операционную деятельность и не только

Правительство РФ предлагает новые программы по поддержке МСП. В настоящее время разрабатываются программы льготного кредитования предприятий.",2022-08-09 17:01:34
73,"Талантливых иностранцев поддержат грантами

Россия теперь стала еще привлекательнее для иностранцев, желающих получить высшее образование. Для талантливых иностранных студентов разработана система грантов.",2022-08-08 08:27:11
74,"Могут отменить наказание за незаконное предпринимательство. И не только

Минюст предлагает либерализовать уголовное законодательство в части составов преступлений, связанных с предпринимательской деятельностью. Предполагается, что эта мера позволит застраховать бизнесменов от незаконного преследования и привлечет в предпринимательство больше людей.",2022-08-07 12:12:06
75,"Работающие пенсионеры смогут вернуть НДФЛ

В Налоговый кодекс РФ предлагается ввести специальный налоговый возврат, позволяющий лицам пенсионного возраста, которые продолжают работать, получить обратно половину уплаченного НДФЛ. С такой инициативой выступила фракция ЛДПР.",2022-08-06 12:12:04
76,"Частное образование разрешили оплачивать маткапиталом

Вариантов для применения материнского капитала становится все больше. Президент России подписал указ, который разрешает использовать маткапитал на оплату частных школ.",2022-08-05 15:06:12
77,"Пошлины для малого бизнеса могут уменьшить

На рассмотрение Госдумы внесен законопроект, в соответствии с которым предлагается применять к госпошлинам понижающий коэффициент, если их уплачивают только что созданные субъекты малого предпринимательства. По замыслу инициаторов, эта мера поможет бизнесу избежать дополнительной финансовой нагрузки на ранних этапах работы.",2022-08-05 11:17:04
78,"Государство запустит сервис для безопасной купли-продажи недвижимости

Сделки с недвижимостью всегда сопряжены с определенными рисками. Чтобы обезопасить себя, приходится собирать много документов из разных инстанций. Но скоро все это будет доступно в новом суперсервисе.",2022-08-04 11:17:04
79,"Усложнили правила аккредитации IT-компаний

Минцифры разработало новые критерии аккредитации ИТ-компаний. Эти критерии делают невозможным включение в реестр организаций, работающих в сфере высоких технологий, банков и финансовых организаций.",2022-08-04 08:27:02
80,"В 2022 году 10 000 рублей на сборы в школу получат не все

В 2021 году семьи с детьми получили по 10 000 рублей, чтобы собрать ребенка в школу. Это было хорошим подспорьем для семейного бюджета. Станет ли выплата постоянной?",2022-08-03 18:12:04
81,"Чтобы получить вычет за лекарства, придется предъявить рецепт

Как ни стараются сдержать рост цен, лекарства все равно становятся дороже. Но можно вернуть часть потраченных средств, оформив социальный налоговый вычет.",2022-08-03 08:27:07
82,"Социальный контракт для самозанятых: кто и как может получить

Одной из интереснейших мер государственной поддержки предпринимательства в России является социальный контракт для самозанятых. Он позволяет всем желающим работать на себя получить капитал на развитие своего дела. Поэтому мы подготовили об этом самую актуальную информацию.",2022-08-02 11:17:04
83,"Как зарегистрировать дом по дачной амнистии в 2022 году

Зарегистрировать по дачной амнистии дом означает возможность оформления прав на него в упрощенном порядке. Но объект обязан соответствовать ряду требований.",2022-08-02 08:27:03
84,"Граждане Украины, ДНР и ЛНР пройдут медицинское освидетельствование бесплатно

Гражданам Украины, ДНР и ЛНР для оформления гражданства РФ нужно пройти медицинское обследование. Сколько для них это будет стоить?",2022-08-01 15:06:14
85,"Малоимущим выдадут дисконтную карту от государства на ежедневные покупки

Малоимущие граждане не всегда могут купить необходимые продукты и лекарства. Правительство разрабатывает программы поддержки таких граждан.",2022-07-29 15:06:17
86,"Упростят получение социальных услуг

С января 2023 года получить социальные услуги можно будет проще, не заморачиваясь сбором всевозможных справок.",2022-07-29 08:27:03
87,"Цифровая маркировка пива стартует весной 2023 года

Минпромторг РФ, ЦРПТ и Ассоциация пивоваров договорились начать маркировать пивную продукцию уже с 01.04.2023. Ранее обсуждалась возможность приступить к внедрению этой системы еще с 01.09.2022, однако инициатива принята не была.",2022-07-28 17:01:04
88,"Из ЕГРЮЛ уберут данные о владельце юрлица

Минфин предлагает реформировать порядок ведения реестров собственников долей в ООО, а также правила раскрытия информации о них. В частности, ведомство предлагает передать полномочия по ведению реестров исключительно регистраторам и убрать информацию об участниках обществ из ЕГРЮЛ.",2022-07-28 08:27:03
89,"ПФР будет информировать о пенсионных накоплениях

Пенсионный фонд будет оповещать о возможности получить накопления или оформить накопительную пенсию в возрасте 55 лет (женщины) и 60 лет (мужчины).",2022-07-27 08:27:02
90,"Появится новый вычет за аренду жилья

На рассмотрение Госдумы внесен законопроект о введении нового налогового вычета — на сумму арендных платежей. По мнению инициаторов, введение этого вычета позволит не только поддержать граждан, арендующих жилье, но и вывести значительную часть рынка аренды из серой зоны в легальное поле.",2022-07-26 18:15:45
91,"Как написать исковое заявление на алименты

Стороны вправе подать исковое заявление на алименты в браке, вне брака или после развода. Рассказываем, как составить заявление, и какие еще документы потребуются.",2022-07-25 15:06:20
92,"Представители МСП смогут вернуть комиссию за СБП до конца 2022 года

Малому и среднему бизнесу будут компенсировать расходы на использование системы быстрых платежей до конца текущего года.",2022-07-22 15:06:12
93,"Изменили правила составления распоряжения об отмене доверенности

Утвердили новые требования к электронным распоряжениям об отмене простых доверенностей. Они заработают с 2023 года.",2022-07-22 11:17:12
94,"Как прописать условия оплаты в договоре

Порядок оплаты по договору — это установленный сторонами в контракте способ расчета за выполненные обязательства. Рассказываем, как правильно прописать в договоре порядок оплаты и на что обратить внимание при согласовании условий расчетов.",2022-07-21 18:12:07
95,"Заявление о взыскании судебных расходов: порядок составления и образец

Порядок составления и бесплатный образец.",2022-07-21 17:01:23
