title,text,date
Пассажирам авиакомпании запретили пользоваться популярным девайсом от Apple,"Немецкая авиакомпания Lufthansa запретила пассажирам перевозить включенные Apple AirTag в багаже. Об этом сообщает издание Inside Hook.Уточняется, что авиаперевозчик запретил перевозить включенные AirTags в багаже из соображений безопасности, ссылаясь на правила перевозки опасных грузов Международной организации гражданской авиации. Решение было связано с тем, что гаджет относится к микроэлектронным устройствам с функцией передачи данных. При транспортировке подобные девайсы должны быть отключены наряду с ноутбуками, планшетами и смартфонами.«Багажные трекеры относятся к категории портативных электронных устройств и попадают под действие правил перевозки опасных грузов, изданных Международной организацией гражданской авиации в отношении воздушных перевозок», — пояснил представитель Lufthansa немецкому изданию Wirtschaftswoche.Apple AirTag — девайс для отслеживания местоположения вещей по Bluetooth. Трекинг осуществляется пользователем через другое устройство Apple. После выхода AirTags пассажиры стали класть трекеры в багаж, чтобы найти свои чемоданы в случае их пропажи.Ранее немецкая авиакомпания назвала причину снятия россиян с рейсов.",2022-10-08 00:00:00
Названы сроки возобновления работы на Керченской паромной переправе,"Керченская паромная переправа возобновит перевозку пассажиров 9 октября во второй половине дня. Об этом сообщает РИА Новости со ссылкой на оперштаб Краснодарского края.Уточняется, что 8 октября переправа работать не будет.Рано утром в субботу, 8 октября, на Крымском мосту произошло ЧП. Национальный антитеррористический комитет (НАК) назвал случившееся подрывом, подчеркнув, что на мосту взорвался грузовой автомобиль. В результате частично обрушились два автомобильных пролета моста, а также загорелись семь топливных цистерн железнодорожного состава.Глава Крыма Аксенов заявил, что восстановительные работы на мосту начнутся в субботу, 8 октября, сразу после окончания действий следственных органов.Ранее была поведена первичная оценка инфраструктуры Крымского моста после ЧП. Сообщалось что первые поезда возобновят движение в субботу, 8 октября. Движение по Крымскому мосту при этом остается перекрытым.",2022-10-08 00:00:00
Пассажиров отмененных поездов в Крым разместят в гостиницах Анапы,"Пассажиров четырех поездов в Крым, перенаправленных в Анапу, обеспечили водой и дополнительным питанием, их планируется разместить в гостиницах города. Об этом сообщила пресс-служба холдинга «Российские железные дороги» (РЖД).«В настоящий момент на станции Анапа находятся четыре поезда: №28 Москва — Симферополь, №170 Санкт-Петербург — Симферополь, №76 Омск — Симферополь, №166 Москва — Симферополь. Все пассажиры перечисленных поездов обеспечены водой и дополнительным питанием. Они будут размещены в гостиницах», — говорится в сообщении.По данным пресс-службы, на станции Анапа организована работа по возврату билетов без дополнительных сборов и плат. Для этого дополнительно открыты билетные кассы.«Поезд № 141 Симферополь — Пермь был остановлен на станции Чистополье и возвращен на станцию Феодосия, а поезд №373 Севастополь — Москва остановлен на станции Симферополь. Их пассажиры также получат бесплатное питание и будут размещены в гостиницах», — добавили в компании.Ранее в РЖД сообщили, что продажа билетов на поезда, которые следуют в Крым и из него, приостановлена после ЧП на Крымском мосту. Помимо этого, отменены все поезда на ближайшее время. В РЖД создан оперативный штаб под председательством генерального директора компании Олега Белозерова.",2022-10-08 00:00:00
МИД России прокомментировал поздравление Эстонии после взрывов на Крымском мосту,"Официальный представитель МИД России Мария Захарова прокомментировала заявления министра иностранных дел Эстонии Урмаса Рейнсалу, который поздравил Украину после сообщений о взрывах на Крымском мосту. В ведомстве считают, что его слова свидетельствуют о круговой поруке преступной логики, связавшей страны НАТО. Об этом пишет РИА Новости.Представитель российского ведомства назвала убийства, диверсии и разрушения частью логики стран НАТО. Захарова также напомнила, как экс-глава МИД Польши Радослав Сикорский поблагодарил США за аварии на нитках газопроводов «Северный поток» и «Северный поток-2».«Убийства, диверсии, разрушения, провокации и инсценировки — преступная логика круговой порукой связала натовские режимы», — отметила дипломат.Утром 8 октября на Крымском мосту произошел взрыв. Сообщалось, что произошло обрушение двух автомобильных пролетов моста и возгорание семи топливных цистерн железнодорожного состава. Движение по мосту остановлено.",2022-10-08 00:00:00
В российском курортном городе усилят контроль за безопасностью на транспорте,"В Сочи усилят контроль за антитеррористической безопасностью на транспортных развязках, мостах и узлах. Об этом заявил мэр российского курортного Алексей Копайгородский в своем Telegram-канале.По его словам, рамках рабочего совещания с представителями ГИБДД и ФКУ Упрдор «Черноморье» также был поднят вопрос мер по увеличению пропускной способности транспортных узлов.8 октября на Крымском мосту произошел подрыв грузовика, в результате которого частично обрушились два автомобильных пролета, загорелись семь топливных цистерн железнодорожного состава. По данным Следственного комитета, в происшествии погибли три человека. Они могли быть пассажирами легкового автомобиля, который находился рядом с фурой во время ее взрыва.По данным источника «Интерфакс-Украина», подрыв моста мог быть осуществлен в результате спецоперации Службы безопасности Украины (СБУ). Официально эту информацию ведомство пока не прокомментировало. В свою очередь, советник главы офиса президента Украины Михаил Подоляк, комментируя ситуацию, заявил, что «все оккупированное Россией должно быть уничтожено».",2022-10-08 00:00:00
В КЖД заявили о начале восстановления инфраструктуры Крымского моста,"На Крымском мосту начато обследование и восстановление железнодорожной инфраструктуры, к этому привлечены все необходимые силы, пишет РИА Новости со ссылкой на пресс-службу Крымской железной дороги (КЖД).«В настоящее время, после локализации и ликвидации возгорания, проводится обследование и восстановление железнодорожной инфраструктуры. К обследованию и ремонтным работам привлечены все необходимые силы и средства, на объекте находятся профильные специалисты», — указано в сообщении компании.Утром 8 октября на Крымском мосту произошел пожар из-за возгорания топливной цистерны в хвосте грузового поезда. По данным Национального антитеррористического комитета (НАК), во время движения по Крымскому мосту взорвался грузовой автомобиль. В результате произошло обрушение двух автомобильных пролетов моста и возгорание семи топливных цистерн железнодорожного состава.Движение по мосту остановлено. Следственный комитет России сообщил о как минимум трех погибших.Действия Украины, предположительно подготовившей взрыв, уже поприветствовали Эстония и Польша. Министр иностранных дел Эстонии Урмас Рейнсалу поздравил страну и назвал происшествие смелым поступком, а депутат сейма Польши от фракции левых Роберт Бедронь назвал новость «бальзамом на сердце».",2022-10-08 00:00:00
В Молдавии задержали бросившего петарды во двор посольства России мужчину,"Молдавские правоохранительные органы задержали сорокалетнего мужчину, который ранее бросил петарды во двор посольства России и написал краской на его воротах, сообщает ТАСС со ссылкой на молдавское телевидение.Мужчина оставил нецензурную надпись на воротах посольства, затем, забравшись на ограду представительства, начал кричать русофобские лозунги. На требования сотрудников полиции он не реагировал и вскоре был задержан, ему предъявили обвинения в хулиганстве.Ранее президент Молдавии Майя Сандур раскрыла уровень своего заработка. Она посетовала на то, что Молдавия является бедной страной, и заявила, что получает в месяц менее тысячи евро.",2022-10-08 00:00:00
Бывший генерал ФСБ описал способ подрыва грузовика на Крымском мосту,"Подрыв грузовика на Крымском мосту могли организовать с помощью радиоканала, но не по таймеру. Об этом заявил генерал-майор ФСБ России в отставке Александр Михайлов, его цитирует РИА Новости.«Возможно, это было совершено с помощью какого-то радиоканала. Но, безусловно, в этом сейчас будут разбираться наши правоохранительные органы, которые уже точно установят, как и кто это совершил», — сказал экс-генерал ФСБ.По его мнению, обнаружить взрывное устройство внутри транспортного средства на пропускном пункте довольно сложно, потому что досмотр проводится визуально.ЧП на Крымском мосту произошло рано утром в субботу, 8 октября. Национальный антитеррористический комитет (НАК) назвал случившееся подрывом, подчеркнув, что на мосту взорвался грузовой автомобиль. В результате частично обрушились два автомобильных пролета моста, а также загорелись семь топливных цистерн железнодорожного состава.По данным СК, по меньшей мере три человека погибли при ЧП на мосту. Предварительно, они могли быть пассажирами легкового автомобиля, находившегося рядом с подорвавшимся грузовиком. В настоящее время из воды подняты тела мужчины и женщины, их личности уже устанавливают.",2022-10-08 00:00:00
Вучич заявил о предложении взять Сербию в ЕС в обмен на включение Косово в ООН,"Страны Запада предложили Сербии ускорить процесс евроинтеграции, если Белград согласится на членство самопровозглашенной республики Косово в ООН. Об этом рассказал сербский президент Александр Вучич, цитату приводит РИА Новости.«Сербия за это получила бы быстрое вступление в ЕС и, вероятно, значительную экономическую выгоду... Я ответил, что для Сербии по конституции и не только по конституции неприемлемо, чтобы Косово стало членом ООН», — подчеркнул политик.Представители Германии и Франции отправили в Белград проект документа, который предполагает допущение самопровозглашенного Косово в международные организации. Вучич отклонил предложение. Он также рассказывал, что еще одна страна отозвала признание независимости самопровозглашенной республики Косово.",2022-10-08 00:00:00
Проведена первичная оценка инфраструктуры Крымского моста после ЧП,"Проведена первичная оценка инфраструктуры железнодорожной части Крымского моста после ЧП. Уже известно, что первые поезда возобновят движение в субботу, 8 октября. Об этом сообщает ТАСС со ссылкой на пресс-службу Минтранса.Также проводятся восстановительные работы, рассказали в ведомстве. Предполагается, что работоспособность поврежденной части моста должны быть восстановлена к 20:00 по Москве. В этот же момент первые поезда будут готовы пройти по участку.Ранее стало известно, что МЧС привлекло два вертолета Ми-8 для охлаждения цистерн после ЧП с Крымским мостом. Помимо этого, для обследования подводных частей моста и морского дна задействованы и водолазы, еще около 100 человек и 22 единиц техники готовы направиться к Крымскому мосту для дополнительной помощи.Национальный антитеррористический комитет (НАК) сообщил, что 8 октября во время движения по Крымскому мосту произошел подрыв автомобиля. После этого стало известно о возгорании топливной цистерны в хвосте поезда, шедшего по Крымскому мосту. Локомотив с частью вагонов выведен на станцию Керчь.По данным властей, арки не повреждены, пострадали только полотна на автомобильной и железнодорожной частях моста. При этом движение по Крымскому мосту сейчас перекрыто, готовится к запуску паромная переправа через Керченский пролив. Власти Крыма призвали россиян пользоваться только официальной информацией во избежание распространения «вражеских фейков и вбросов».",2022-10-08 00:00:00
На Украине выпустят почтовую марку с горящим Крымским мостом,"«Укрпочта» выпустит почтовую марку с изображением горящего Крымского моста. О выпуске новой марки на Украине сообщил глава организации Игорь Смилянский в Telegram.«Утро еще никогда не было таким добрым. По случаю праздника выпускаем новую марку с Крымским мостом, или, точнее, с тем, что от него останется», — рассказал он.По его словам, на марках, в частности, будут изображены стиральная машинка, российская военная техника и наручники, «которые Крым разрывает с Россией». Марку готовили давно вместе с художником Юрием Шаповалом, отметил Смилянский. Он уточнил, что ее тираж составит семь миллионов, а точная дата выпуска будет объявлена позже.О ЧП на Крымском мосту стало известно утром 8 октября. Национальный антитеррористический комитет сообщил, что на мосту взорвался грузовой автомобиль. Происшествие привело к частичному обрушению двух автомобильных пролетов моста и возгоранию топливных цистерн железнодорожного состава. По предварительным данным, в результате инцидента погибли три человека.По данным властей, арки не повреждены, пострадали только полотна на автомобильной и железнодорожной частях моста. При этом движение по Крымскому мосту сейчас перекрыто, готовится к запуску паромная переправа через Керченский пролив. Уже идет подготовка к восстановительным работам.Ранее «Почта Донбасса» сообщила, что в Донецкой народной республике выпустили почтовую марку в поддержку специальной военной операции на Украине. Как уточнялось, на новой марке № 286 «Zакат нацизма» изображен символ спецоперации — латинская буква Z.",2022-10-08 00:00:00
